EXIOBASE,NACE Rev. 2 Class,NACE Section,NACE Rev 2. Code,ISIC Rev 4. Class,ISIC Rev 4. Group,ISIC Rev. 4. Division,ISIC Rev. 4 Section ,ISIC Rev. 4 Unique Code,ISIC Rev. 5 Class,ISIC Rev. 5 Group,ISIC Rev. 5 Division,ISIC Rev. 5. Section,ISIC Rev. 5 Unique Code
Manufacture of machinery and equipment n.e.c. (29),Manufacture of other machine tools,C,28.49,Manufacture of metal-forming machinery and machine tools,Manufacture of special-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_282_2822,Manufacture of metal-forming machinery and machine tools,Manufacture of special-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_282_2822
Manufacture of other transport equipment (35),Manufacture of military fighting vehicles,C,30.4,Manufacture of military fighting vehicles,Manufacture of military fighting vehicles,Manufacture of other transport equipment,Manufacturing,C_30_304_3040,Manufacture of military fighting vehicles,Manufacture of military fighting vehicles,Manufacture of other transport equipment,Manufacturing,C_30_304_3040
"Manufacture of motor vehicles, trailers and semi-trailers (34)",Manufacture of motor vehicles,C,29.1,Manufacture of motor vehicles,Manufacture of motor vehicles,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacturing,C_29_291_2910,Manufacture of motor vehicles,Manufacture of motor vehicles,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacturing,C_29_291_2910
"Manufacture of motor vehicles, trailers and semi-trailers (34)",Manufacture of motorcycles,C,30.91,Manufacture of motorcycles,Manufacture of transport equipment n.e.c.,Manufacture of other transport equipment,Manufacturing,C_30_309_3091,Manufacture of motorcycles,Manufacture of transport equipment n.e.c.,Manufacture of other transport equipment,Manufacturing,C_30_309_3091
Manufacture of furniture; manufacturing n.e.c. (36),Manufacture of musical instruments,C,32.2,Manufacture of musical instruments,Manufacture of musical instruments,Other manufacturing,Manufacturing,C_32_322_3220,Manufacture of musical instruments,Manufacture of musical instruments,Other manufacturing,Manufacturing,C_32_322_3220
Manufacture of office machinery and computers (30),Manufacture of office machinery and equipment (except computers and peripheral equipment),C,28.23,Manufacture of office machinery and equipment (except computers and peripheral equipment),Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2817,Manufacture of office machinery and equipment (except computers and peripheral equipment),Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2817
"Manufacture of radio, television and communication equipment and apparatus (32)",Manufacture of office machinery and equipment (except computers and peripheral equipment),C,28.23,Manufacture of office machinery and equipment (except computers and peripheral equipment),Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2817,Manufacture of office machinery and equipment (except computers and peripheral equipment),Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2817
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",Manufacture of optical instruments and photographic equipment,C,26.7,Manufacture of optical instruments and photographic equipment,Manufacture of optical instruments and photographic equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_267_2670,Manufacture of optical instruments and photographic equipment,Manufacture of optical instruments and photographic equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_267_2670
Paper,Manufacture of paper stationery,C,17.23,Manufacture of other articles of paper and paperboard,Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1709,Manufacture of other articles of paper and paperboard,Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1709
Paper,Manufacture of wallpaper,C,17.24,Manufacture of other articles of paper and paperboard,Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1709,Manufacture of other articles of paper and paperboard,Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1709
Paper,Manufacture of other articles of paper and paperboard,C,17.29,Manufacture of other articles of paper and paperboard,Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1709,Manufacture of other articles of paper and paperboard,Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1709
Paper,Manufacture of household and sanitary goods and of toilet requisites,C,17.22,Manufacture of other articles of paper and paperboard,Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1709,Manufacture of other articles of paper and paperboard,Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1709
Chemicals nec,Manufacture of industrial gases,C,20.11,Manufacture of basic chemicals,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2011,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2029
Chemicals nec,Manufacture of dyes and pigments,C,20.12,Manufacture of basic chemicals,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2011,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2029
Chemicals nec,Manufacture of other inorganic basic chemicals,C,20.13,Manufacture of basic chemicals,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2011,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2029
Chemicals nec,Manufacture of other organic basic chemicals,C,20.14,Manufacture of basic chemicals,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2011,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2029
Chemicals nec,Manufacture of explosives,C,20.51,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2029,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2029
Chemicals nec,Manufacture of glues,C,20.52,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2029,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2029
Chemicals nec,Manufacture of essential oils,C,20.53,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2029,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2029
Chemicals nec,Manufacture of other chemical products n.e.c.,C,20.59,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2029,Manufacture of other chemical products n.e.c.,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2029
Manufacture of electrical machinery and apparatus n.e.c. (31),Manufacture of other electrical equipment,C,27.9,Manufacture of other electrical equipment,Manufacture of other electrical equipment,Manufacture of electrical equipment,Manufacturing,C_27_279_2790,Manufacture of other electrical equipment,Manufacture of other electrical equipment,Manufacture of electrical equipment,Manufacturing,C_27_279_2790
"Manufacture of radio, television and communication equipment and apparatus (32)",Manufacture of other electrical equipment,C,27.9,Manufacture of other electrical equipment,Manufacture of other electrical equipment,Manufacture of electrical equipment,Manufacturing,C_27_279_2790,Manufacture of other electrical equipment,Manufacture of other electrical equipment,Manufacture of electrical equipment,Manufacturing,C_27_279_2790
Manufacture of electrical machinery and apparatus n.e.c. (31),Manufacture of other electronic and electric wires and cables,C,27.32,Manufacture of other electronic and electric wires and cables,Manufacture of wiring and wiring devices,Manufacture of electrical equipment,Manufacturing,C_27_273_2732,Manufacture of other electronic and electric wires and cables,Manufacture of wiring and wiring devices,Manufacture of electrical equipment,Manufacturing,C_27_273_2732
Manufacture of electrical machinery and apparatus n.e.c. (31),Manufacture of electronic components,C,26.11,Manufacture of electronic components and boards,Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261_2610,Manufacture of other electronic components and boards,Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261_2619
"Manufacture of radio, television and communication equipment and apparatus (32)",Manufacture of electronic components,C,26.11,Manufacture of electronic components and boards,Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261_2610,Manufacture of other electronic components and boards,Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261_2619
"Manufacture of radio, television and communication equipment and apparatus (32)",Manufacture of loaded electronic boards,C,26.12,Manufacture of electronic components and boards,Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261_2610,Manufacture of other electronic components and boards,Manufacture of electronic components and boards,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_261_2619
"Manufacture of fabricated metal products, except machinery and equipment (28)",Manufacture of steel drums and similar containers,C,25.91,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2599,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2599
"Manufacture of fabricated metal products, except machinery and equipment (28)",Manufacture of light metal packaging,C,25.92,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2599,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2599
"Manufacture of fabricated metal products, except machinery and equipment (28)","Manufacture of wire products, chain and springs",C,25.93,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2599,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2599
"Manufacture of fabricated metal products, except machinery and equipment (28)",Manufacture of fasteners and screw machine products,C,25.94,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2599,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2599
"Manufacture of fabricated metal products, except machinery and equipment (28)",Manufacture of other fabricated metal products n.e.c.,C,25.99,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2599,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2599
Processing of Food products nec,Processing of tea and coffee,C,10.83,Manufacture of other food products n.e.c.,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1079,Manufacture of other food products n.e.c.,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1079
Processing of Food products nec,Manufacture of condiments and seasonings,C,10.84,Manufacture of other food products n.e.c.,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1079,Manufacture of other food products n.e.c.,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1079
Processing of Food products nec,Manufacture of homogenised food preparations and dietetic food,C,10.86,Manufacture of other food products n.e.c.,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1079,Manufacture of other food products n.e.c.,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1079
Processing of Food products nec,Manufacture of other food products n.e.c.,C,10.89,Manufacture of other food products n.e.c.,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1079,Manufacture of other food products n.e.c.,Manufacture of other food products,Manufacture of food products,Manufacturing,C_10_107_1079
Manufacture of furniture; manufacturing n.e.c. (36),Manufacture of office and shop furniture,C,31.01,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,Manufacturing,C_31_310_3100,Manufacture of other furniture,Manufacture of furniture,Manufacture of furniture,Manufacturing,C_31_310_3102
Manufacture of furniture; manufacturing n.e.c. (36),Manufacture of kitchen furniture,C,31.02,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,Manufacturing,C_31_310_3100,Manufacture of other furniture,Manufacture of furniture,Manufacture of furniture,Manufacturing,C_31_310_3102
Manufacture of furniture; manufacturing n.e.c. (36),Manufacture of mattresses,C,31.03,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,Manufacturing,C_31_310_3100,Manufacture of other furniture,Manufacture of furniture,Manufacture of furniture,Manufacturing,C_31_310_3102
Manufacture of furniture; manufacturing n.e.c. (36),Manufacture of other furniture,C,31.09,Manufacture of furniture,Manufacture of furniture,Manufacture of furniture,Manufacturing,C_31_310_3100,Manufacture of other furniture,Manufacture of furniture,Manufacture of furniture,Manufacturing,C_31_310_3102
Manufacture of machinery and equipment n.e.c. (29),Manufacture of non-domestic cooling and ventilation equipment,C,28.25,Manufacture of other general-purpose machinery,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2819,Manufacture of other general-purpose machinery,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2819
Manufacture of machinery and equipment n.e.c. (29),Manufacture of other general-purpose machinery n.e.c.,C,28.29,Manufacture of other general-purpose machinery,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2819,Manufacture of other general-purpose machinery,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2819
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",Manufacture of other general-purpose machinery n.e.c.,C,28.29,Manufacture of other general-purpose machinery,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2819,Manufacture of other general-purpose machinery,Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2819
Manufacture of other non-metallic mineral products n.e.c.,Production of abrasive products,C,23.91,Manufacture of other non-metallic mineral products n.e.c.,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2399,Manufacture of other non-metallic mineral products n.e.c.,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2399
Manufacture of other non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products n.e.c.,C,23.99,Manufacture of other non-metallic mineral products n.e.c.,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2399,Manufacture of other non-metallic mineral products n.e.c.,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2399
Manufacture of ceramic goods,Manufacture of ceramic household and ornamental articles,C,23.41,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2393,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2393
Manufacture of ceramic goods,Manufacture of ceramic sanitary fixtures,C,23.42,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2393,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2393
Manufacture of ceramic goods,Manufacture of ceramic insulators and insulating fittings,C,23.43,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2393,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2393
Manufacture of ceramic goods,Manufacture of other technical ceramic products,C,23.44,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2393,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2393
Manufacture of ceramic goods,Manufacture of other ceramic products,C,23.49,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2393,Manufacture of other porcelain and ceramic products,Manufacture of non-metallic mineral products n.e.c.,Manufacture of other non-metallic mineral products,Manufacturing,C_23_239_2393
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",C,16.29,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","Manufacture of products of wood, cork, straw and plaiting materials","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing,C_16_162_1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","Manufacture of products of wood, cork, straw and plaiting materials","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing,C_16_162_1629
Re-processing of secondary wood material into new wood material,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",C,16.29,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","Manufacture of products of wood, cork, straw and plaiting materials","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing,C_16_162_1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","Manufacture of products of wood, cork, straw and plaiting materials","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Manufacturing,C_16_162_1629
Manufacture of machinery and equipment n.e.c. (29),Manufacture of other pumps and compressors,C,28.13,"Manufacture of other pumps, compressors, taps and valves",Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2813,"Manufacture of other pumps, compressors, taps and valves",Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2813
Manufacture of machinery and equipment n.e.c. (29),Manufacture of other taps and valves,C,28.14,"Manufacture of other pumps, compressors, taps and valves",Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2813,"Manufacture of other pumps, compressors, taps and valves",Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2813
Manufacture of rubber and plastic products (25),Manufacture of other rubber products,C,22.19,Manufacture of other rubber products,Manufacture of rubber products,Manufacture of rubber and plastics products,Manufacturing,C_22_221_2219,Manufacture of other rubber products,Manufacture of rubber products,Manufacture of rubber and plastic products,Manufacturing,C_22_221_2219
Manufacture of machinery and equipment n.e.c. (29),Manufacture of machinery for paper and paperboard production,C,28.95,Manufacture of other special-purpose machinery,Manufacture of special-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_282_2829,Manufacture of other special-purpose machinery,Manufacture of special-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_282_2829
Manufacture of machinery and equipment n.e.c. (29),Manufacture of plastics and rubber machinery,C,28.96,Manufacture of other special-purpose machinery,Manufacture of special-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_282_2829,Manufacture of other special-purpose machinery,Manufacture of special-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_282_2829
Manufacture of electrical machinery and apparatus n.e.c. (31),Manufacture of other special-purpose machinery n.e.c.,C,28.99,Manufacture of other special-purpose machinery,Manufacture of special-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_282_2829,Manufacture of other special-purpose machinery,Manufacture of special-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_282_2829
Manufacture of machinery and equipment n.e.c. (29),Manufacture of other special-purpose machinery n.e.c.,C,28.99,Manufacture of other special-purpose machinery,Manufacture of special-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_282_2829,Manufacture of other special-purpose machinery,Manufacture of special-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_282_2829
Manufacture of textiles (17),"Manufacture of non-wovens and articles made from non-wovens, except apparel",C,13.95,Manufacture of other textiles n.e.c.,Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139_1399,Manufacture of other textiles n.e.c.,Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139_1399
Manufacture of textiles (17),Manufacture of other technical and industrial textiles,C,13.96,Manufacture of other textiles n.e.c.,Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139_1399,Manufacture of other textiles n.e.c.,Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139_1399
Manufacture of textiles (17),Manufacture of other textiles n.e.c.,C,13.99,Manufacture of other textiles n.e.c.,Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139_1399,Manufacture of other textiles n.e.c.,Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139_1399
Manufacture of other transport equipment (35),Manufacture of other transport equipment n.e.c.,C,30.99,Manufacture of other transport equipment n.e.c.,Manufacture of transport equipment n.e.c.,Manufacture of other transport equipment,Manufacturing,C_30_309_3099,Manufacture of other transport equipment n.e.c.,Manufacture of transport equipment n.e.c.,Manufacture of other transport equipment,Manufacturing,C_30_309_3099
Manufacture of machinery and equipment n.e.c. (29),"Manufacture of ovens, furnaces and furnace burners",C,28.21,"Manufacture of ovens, furnaces and furnace burners",Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2815,"Manufacture of ovens, furnaces and permanent household heating equipment",Manufacture of general-purpose machinery,Manufacture of machinery and equipment n.e.c.,Manufacturing,C_28_281_2815
Chemicals nec,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",C,20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2022
Manufacture of electrical machinery and apparatus n.e.c. (31),Manufacture of electrical and electronic equipment for motor vehicles,C,29.31,Manufacture of parts and accessories for motor vehicles,Manufacture of parts and accessories for motor vehicles,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacturing,C_29_293_2930,Manufacture of parts and accessories for motor vehicles,Manufacture of parts and accessories for motor vehicles,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacturing,C_29_293_2930
"Manufacture of motor vehicles, trailers and semi-trailers (34)",Manufacture of other parts and accessories for motor vehicles,C,29.32,Manufacture of parts and accessories for motor vehicles,Manufacture of parts and accessories for motor vehicles,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacturing,C_29_293_2930,Manufacture of parts and accessories for motor vehicles,Manufacture of parts and accessories for motor vehicles,"Manufacture of motor vehicles, trailers and semi-trailers",Manufacturing,C_29_293_2930
Chemicals nec,Manufacture of pesticides and other agrochemical products,C,20.2,Manufacture of pesticides and other agrochemical products,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2021,Manufacture of pesticides and other agrochemical products,Manufacture of other chemical products,Manufacture of chemicals and chemical products,Manufacturing,C_20_202_2021
Chemicals nec,Manufacture of basic pharmaceutical products,C,21.1,"Manufacture of pharmaceuticals, medicinal chemical and botanical products","Manufacture of pharmaceuticals, medicinal chemical and botanical products",Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,C_21_210_2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products","Manufacture of pharmaceuticals, medicinal chemical and botanical products",Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,C_21_210_2100
Chemicals nec,Manufacture of pharmaceutical preparations,C,21.2,"Manufacture of pharmaceuticals, medicinal chemical and botanical products","Manufacture of pharmaceuticals, medicinal chemical and botanical products",Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,C_21_210_2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products","Manufacture of pharmaceuticals, medicinal chemical and botanical products",Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacturing,C_21_210_2100
"Plastics, basic",Manufacture of plastics in primary forms,C,20.16,Manufacture of plastics and synthetic rubber in primary forms,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2013,Manufacture of plastics and synthetic rubber in primary forms,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2013
Re-processing of secondary plastic into new plastic,Manufacture of plastics in primary forms,C,20.16,Manufacture of plastics and synthetic rubber in primary forms,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2013,Manufacture of plastics and synthetic rubber in primary forms,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2013
"Plastics, basic",Manufacture of synthetic rubber in primary forms,C,20.17,Manufacture of plastics and synthetic rubber in primary forms,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2013,Manufacture of plastics and synthetic rubber in primary forms,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2013
Re-processing of secondary plastic into new plastic,Manufacture of synthetic rubber in primary forms,C,20.17,Manufacture of plastics and synthetic rubber in primary forms,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2013,Manufacture of plastics and synthetic rubber in primary forms,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",Manufacture of chemicals and chemical products,Manufacturing,C_20_201_2013
Manufacture of rubber and plastic products (25),"Manufacture of plastic plates, sheets, tubes and profiles",C,22.21,Manufacture of plastics products,Manufacture of plastics products,Manufacture of rubber and plastics products,Manufacturing,C_22_222_2220,Manufacture of plastics products,Manufacture of plastics products,Manufacture of rubber and plastic products,Manufacturing,C_22_222_2220
Manufacture of rubber and plastic products (25),Manufacture of plastic packing goods,C,22.22,Manufacture of plastics products,Manufacture of plastics products,Manufacture of rubber and plastics products,Manufacturing,C_22_222_2220,Manufacture of plastics products,Manufacture of plastics products,Manufacture of rubber and plastic products,Manufacturing,C_22_222_2220
Manufacture of rubber and plastic products (25),Manufacture of builders' ware of plastic,C,22.23,Manufacture of plastics products,Manufacture of plastics products,Manufacture of rubber and plastics products,Manufacturing,C_22_222_2220,Manufacture of plastics products,Manufacture of plastics products,Manufacture of rubber and plastic products,Manufacturing,C_22_222_2220
