EXIOBASE,NACE Rev. 2 Class,NACE Section,NACE Rev 2. Code,ISIC Rev 4. Class,ISIC Rev 4. Group,ISIC Rev. 4. Division,ISIC Rev. 4 Section ,ISIC Rev. 4 Unique Code,ISIC Rev. 5 Class,ISIC Rev. 5 Group,ISIC Rev. 5 Division,ISIC Rev. 5. Section,ISIC Rev. 5 Unique Code
"Manufacture of radio, television and communication equipment and apparatus (32)",Manufacture of computers and peripheral equipment,C,26.2,Manufacture of computers and peripheral equipment,Manufacture of computers and peripheral equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_262_2620,Manufacture of computers and peripheral equipment,Manufacture of computers and peripheral equipment,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_262_2620
Manufacture of furniture; manufacturing n.e.c. (36),Manufacture of consumer electronics,C,26.4,Manufacture of consumer electronics,Manufacture of consumer electronics,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_264_2640,Manufacture of consumer electronics,Manufacture of consumer electronics,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_264_2640
"Manufacture of radio, television and communication equipment and apparatus (32)",Manufacture of consumer electronics,C,26.4,Manufacture of consumer electronics,Manufacture of consumer electronics,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_264_2640,Manufacture of consumer electronics,Manufacture of consumer electronics,"Manufacture of computer, electronic and optical products",Manufacturing,C_26_264_2640
Manufacture of textiles (17),"Manufacture of cordage, rope, twine and netting",C,13.94,"Manufacture of cordage, rope, twine and netting",Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139_1394,"Manufacture of cordage, rope, twine and netting",Manufacture of other textiles,Manufacture of textiles,Manufacturing,C_13_139_1394
Paper,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,C,17.21,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,Manufacture of paper and paper products,Manufacture of paper and paper products,Manufacturing,C_17_170_1702
"Manufacture of fabricated metal products, except machinery and equipment (28)",Manufacture of cutlery,C,25.71,"Manufacture of cutlery, hand tools and general hardware",Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2593,"Manufacture of cutlery, hand tools and general hardware",Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2593
"Manufacture of fabricated metal products, except machinery and equipment (28)",Manufacture of locks and hinges,C,25.72,"Manufacture of cutlery, hand tools and general hardware",Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2593,"Manufacture of cutlery, hand tools and general hardware",Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2593
"Manufacture of fabricated metal products, except machinery and equipment (28)",Manufacture of tools,C,25.73,"Manufacture of cutlery, hand tools and general hardware",Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2593,"Manufacture of cutlery, hand tools and general hardware",Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2593
Manufacture of machinery and equipment n.e.c. (29),Manufacture of tools,C,25.73,"Manufacture of cutlery, hand tools and general hardware",Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2593,"Manufacture of cutlery, hand tools and general hardware",Manufacture of other fabricated metal products; metalworking service activities,"Manufacture of fabricated metal products, except machinery and equipment",Manufacturing,C_25_259_2593
Processing of dairy products,Operation of dairies and cheese making,C,10.51,Manufacture of dairy products,Manufacture of dairy products,Manufacture of food products,Manufacturing,C_10_105_1050,Manufacture of dairy products,Manufacture of dairy products,Manufacture of food products,Manufacturing,C_10_105_1050
Processing of dairy products,Manufacture of ice cream,C,10.52,Manufacture of dairy products,Manufacture of dairy products,Manufacture of food products,Manufacturing,C_10_105_1050,Manufacture of dairy products,Manufacture of dairy products,Manufacture of food products,Manufacturing,C_10_105_1050
Manufacture of machinery and equipment n.e.c. (29),Manufacture of electric domestic appliances,C,27.51,Manufacture of domestic appliances,Manufacture of domestic appliances,Manufacture of electrical equipment,Manufacturing,C_27_275_2750,Manufacture of domestic appliances,Manufacture of domestic appliances,Manufacture of electrical equipment,Manufacturing,C_27_275_2750
Manufacture of machinery and equipment n.e.c. (29),Manufacture of non-electric domestic appliances,C,27.52,Manufacture of domestic appliances,Manufacture of domestic appliances,Manufacture of electrical equipment,Manufacturing,C_27_275_2750,Manufacture of domestic appliances,Manufacture of domestic appliances,Manufacture of electrical equipment,Manufacturing,C_27_275_2750
